FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
5.45	-253.12	2.21E-07	7.31E-04	201.777
5.5	-253.12	2.21E-07	7.32E-04	201.921
5.55	-253.09	2.22E-07	7.37E-04	202.067
5.6	-253.09	2.22E-07	7.37E-04	202.214
5.65	-253.11	2.21E-07	7.32E-04	202.363
5.7	-253.12	2.21E-07	7.32E-04	202.514
5.75	-253.15	2.20E-07	7.26E-04	202.666
5.8	-253.16	2.20E-07	7.24E-04	202.82
5.85	-253.11	2.21E-07	7.33E-04	202.975
5.9	-253.16	2.20E-07	7.24E-04	203.132
5.95	-253.18	2.19E-07	7.21E-04	203.29
6	-253.16	2.20E-07	7.25E-04	203.45
6.05	-253.24	2.18E-07	7.12E-04	203.611
6.1	-253.25	2.18E-07	7.10E-04	203.773
6.15	-253.17	2.20E-07	7.23E-04	203.938
6.2	-253.16	2.20E-07	7.25E-04	204.103
6.25	-253.19	2.19E-07	7.19E-04	204.27
6.3	-253.15	2.20E-07	7.27E-04	204.438
6.35	-253.07	2.22E-07	7.39E-04	204.608
6.4	-253.02	2.23E-07	7.48E-04	204.779
6.45	-252.99	2.24E-07	7.54E-04	204.952
6.5	-252.94	2.26E-07	7.63E-04	205.126
6.55	-252.89	2.27E-07	7.71E-04	205.301
6.6	-252.87	2.27E-07	7.74E-04	205.478
6.65	-252.84	2.28E-07	7.80E-04	205.656
6.7	-252.78	2.30E-07	7.91E-04	205.835
6.75	-252.72	2.31E-07	8.01E-04	206.016
6.8	-252.7	2.32E-07	8.07E-04	206.198
6.85	-252.7	2.32E-07	8.06E-04	206.381
6.9	-252.63	2.34E-07	8.18E-04	206.566
6.95	-252.62	2.34E-07	8.20E-04	206.752
7	-252.57	2.35E-07	8.31E-04	206.939
7.05	-252.56	2.36E-07	8.32E-04	207.128
7.1	-252.57	2.35E-07	8.30E-04	207.318
7.15	-252.51	2.37E-07	8.42E-04	207.509
7.2	-252.48	2.38E-07	8.48E-04	207.702
7.25	-252.53	2.36E-07	8.37E-04	207.896
7.3	-252.56	2.36E-07	8.32E-04	208.091
7.35	-252.54	2.36E-07	8.35E-04	208.288
7.4	-252.58	2.35E-07	8.28E-04	208.485
7.45	-252.57	2.35E-07	8.30E-04	208.684
7.5	-252.58	2.35E-07	8.29E-04	208.885
7.55	-252.49	2.37E-07	8.45E-04	209.086
7.6	-252.49	2.37E-07	8.45E-04	209.289
7.65	-252.55	2.36E-07	8.34E-04	209.494
7.7	-252.57	2.35E-07	8.31E-04	209.699
7.75	-252.54	2.36E-07	8.35E-04	209.906
7.8	-252.55	2.36E-07	8.34E-04	210.115
7.85	-252.55	2.36E-07	8.33E-04	210.324
7.9	-252.51	2.37E-07	8.41E-04	210.535
7.95	-252.54	2.36E-07	8.36E-04	210.747
8	-252.5	2.37E-07	8.44E-04	210.961
8.05	-252.53	2.36E-07	8.38E-04	211.175
8.1	-252.5	2.37E-07	8.44E-04	211.392
8.15	-252.5	2.37E-07	8.43E-04	211.609
8.2	-252.43	2.39E-07	8.56E-04	211.828
8.25	-252.46	2.38E-07	8.52E-04	212.048
8.3	-252.45	2.38E-07	8.53E-04	212.27
8.35	-252.48	2.38E-07	8.47E-04	212.493
8.4	-252.42	2.39E-07	8.60E-04	212.717
8.45	-252.48	2.38E-07	8.48E-04	212.943
8.5	-252.49	2.37E-07	8.45E-04	213.17
8.55	-252.45	2.39E-07	8.53E-04	213.399
8.6	-252.41	2.40E-07	8.60E-04	213.629
8.65	-252.49	2.38E-07	8.46E-04	213.86
8.7	-252.38	2.40E-07	8.67E-04	214.093
8.75	-252.49	2.37E-07	8.45E-04	214.328
8.8	-252.3	2.43E-07	8.84E-04	214.563
8.85	-252.32	2.42E-07	8.80E-04	214.801
8.9	-252.32	2.42E-07	8.80E-04	215.039
8.95	-252.13	2.48E-07	9.19E-04	215.28
9	-252.08	2.49E-07	9.29E-04	215.521
9.05	-252.04	2.50E-07	9.39E-04	215.765
9.1	-251.96	2.52E-07	9.55E-04	216.01
